City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,illoqqortoormiut,79.38421198374073,-12.47452948118351,273.26,99,100,2.94,gl,1691803966
1,nador,34.44049531193775,-3.357443954316068,300.85,31,0,1.02,ma,1691803966
2,bredasdorp,-48.55987120747759,20.23870665826564,275.07,73,15,4.78,za,1691803966
3,tasiilaq,63.090670432284924,-38.82097801168348,282.76,60,100,2.11,gl,1691803967
4,leh,-54.027765909355765,20.291475829618093,272.55,85,58,9.76,za,1691803967
5,barrow,33.44419715912166,78.18881144505082,287.86,65,1,1.89,in,1691803967
6,castro,84.67129432034645,-148.0426286673341,273.6,88,100,2.89,us,1691803968
7,mahebourg,-46.485344501171724,-102.09356272398561,281.17,96,99,5.33,cl,1691803968
8,karratha,-25.545871220677782,63.18838357261171,293.45,69,2,10.52,mu,1691803968
9,east london,-18.06961507439972,113.30390814664997,296.91,66,5,3.11,au,1691803968
10,khatanga,-34.726099312389174,30.00631056323249,292.86,82,0,11.04,za,1691803969
11,rikitea,69.79278053572881,97.28729880944832,274.88,100,100,1.6,ru,1691803969
12,andrushivka,-61.87619342802798,-136.09774932737886,272.37,89,10,12.54,pf,1691803970
13,qaanaaq,50.13058024642737,29.11570013696155,286.27,95,40,4.03,ua,1691803970
14,butembo,74.50309934656218,-76.11906091375839,277.22,90,100,5.37,gl,1691803970
15,vila velha,0.47903957441235434,28.18239152723919,291.21,98,58,0.75,cd,1691803971
16,yen bai,-31.419908298493155,-22.559639204207997,287.91,69,35,4.69,br,1691803971
17,bethel,21.594814532276388,104.68147794646916,301.61,75,25,1.03,vn,1691803971
18,grand river south east,65.87912562245205,-159.0475742686696,296.67,53,46,5.65,us,1691803972
19,hamilton,-24.70563492119649,82.18746868473283,290.77,63,100,7.22,mu,1691803972
20,samusu,26.50134781649865,-60.50966611516027,301.56,72,10,6.08,bm,1691803972
21,tilichiki,-7.915002540091876,-164.11968531741536,301.33,68,10,6.61,ws,1691803973
22,cape town,59.85748522221081,167.7684347175283,283.99,87,100,3.69,ru,1691803973
23,teya,-53.558115270764645,3.1280887128335166,270.64,68,36,10.89,za,1691803973
24,cap malheureux,61.314355883638825,91.09060395198219,288.79,67,98,1.25,ru,1691803973
25,pirovskoye,-14.75311568491685,56.42388556831409,297.44,83,13,6.41,mu,1691803974
26,ushuaia,57.12714088429877,92.1909514786779,288.56,93,99,1.3,ru,1691803974
27,lopatyn,-72.7583469548434,-31.899465420761544,240.31,100,64,3.71,ar,1691803975
28,harper,50.157567025386186,24.942718064708316,284.68,87,4,2.26,ua,1691803975
29,bialystok,1.8072806336805627,-10.62950655758604,297.54,67,95,5.14,lr,1691803975
30,ossora,53.31589701236501,23.143850117587135,288.05,78,0,1.21,pl,1691803976
31,dudinka,60.76976686975215,162.48852098231373,282.41,97,100,3.03,ru,1691803976
32,kapaa,69.04125475431835,86.41452118556577,281.53,56,14,13.16,ru,1691803976
33,andarab,35.69928260057161,-173.15915511061334,297.85,88,81,12.34,us,1691803977
34,yellowknife,35.74338107399858,69.44935803004978,288.42,45,0,0.39,af,1691803977
35,mataura,-69.7071846666356,-138.41487586031118,261.61,99,63,3.42,pf,1691803977
36,hermanus,81.60086902634856,-101.80038359097311,273.62,95,100,3.04,ca,1691803978
37,bluff,-83.53712475173775,-151.2542214986932,228.01,99,100,4.22,pf,1691803978
38,chuy,-69.9145135408127,13.323054898132114,251.49,98,100,9.15,za,1691803978
39,san patricio,-67.46844948651348,159.99335572847656,249.63,100,100,2.99,nz,1691803979
40,tandalti,-67.14509281723333,-21.32045310505015,251.79,96,97,8.71,uy,1691803979
41,busselton,2.4501433730516595,-117.01636621907736,299.35,74,78,5.85,mx,1691803979
42,cherskiy,-19.216749226075663,-115.53342979657438,296.58,80,20,5.45,pf,1691803980
43,anqiu,-86.21096500366733,-33.62406423559733,232.63,94,100,9.68,ar,1691803980
44,gat,12.873020325350382,31.845488216645066,300.88,70,97,4.24,sd,1691803980
45,conde,-35.538538618237276,102.94482475607003,285.35,81,6,2.9,au,1691803981
46,norrtalje,76.45153319940707,157.69875960005396,275.17,89,0,9.08,ru,1691803981
47,puerto ayora,36.176654733653436,118.85472720023739,301.46,75,100,4.36,cn,1691803981
48,ullapool,23.99488565913137,6.4900423248467405,298.47,21,4,2.13,ly,1691803982
49,punta arenas,-14.434302813048134,-33.405980222987836,297.59,62,2,9.52,br,1691803982
50,bereda,60.54966706800167,18.389529486593943,286.48,85,6,5.82,se,1691803983
51,jamestown,-13.962400131420353,-99.22441209599448,295.56,74,100,6.97,ec,1691803983
52,povoa de varzim,58.838894018624984,-5.159300048212344,287.79,87,100,7.18,gb,1691803983
53,sedelnikovo,55.40364578587591,-168.89689598700056,282.99,93,100,4.84,us,1691803984
54,severo-kurilsk,-64.37446249490428,-79.98968732750176,259.07,92,100,6.88,cl,1691803984
55,esperance,14.362310424347058,50.012311364442525,301.19,85,3,3.87,so,1691803985
56,amderma,-79.20969478535449,-8.568296226800584,240.22,99,100,3.3,za,1691803985
57,bengkulu,-58.85080279806573,-142.82837994757023,273.33,81,64,6.88,pf,1691803985
58,kruisfontein,-27.18197882605442,-21.735974311563695,290.37,68,90,7.9,sh,1691803986
59,karaul,41.2743346008273,-8.981881185347135,293.88,96,99,5.69,pt,1691803986
60,korla,57.89237715803094,75.46829054024639,281.7,70,100,3.63,ru,1691803986
61,souillac,41.1173443795835,163.37224478475008,293.6,97,100,8.21,ru,1691803987
